serial_id,bloodbankname,state,city,address,pincode,contact,email,nodalofficer ,operationalhours,latitude,longitude,bloodtypes.A_p,bloodtypes.A_m,bloodtypes.B_p,bloodtypes.B_m,bloodtypes.AB_p,bloodtypes.AB_m,bloodtypes.O_p,bloodtypes.O_m,price
A11,Sadar Hospital Hajipur Blood Bank ,Bihar,Hajipur,"hospital road, hajipur, Near Civil Court\r\n",8441010,"09473191934, 09279220893",,Dr.Thakur Balinder Prasad Singh,24 hours ,25.690268,85.208265,0,0,17,0,0,11,0,0,70
A12,Maharani Janki Kunwar (MJK) Hospital Blood Bank,Bihar,Bettiah,"Bettiah, West Champaran",845438,9430523283,bb2bth@gmail.com,Dr. Kumar Mukund Prasad Parwey,N/A,26.796929,84.500903,0,0,0,12,0,0,0,67,20
A13,"Department of  Transfusion Medicine, PGIMER Blood Bank",Chandigarh,Chandigarh,"Blood Bank, Department of Transfusion Medicine, Nehru Hospital, PGIMER, Sec-12, Chandigarh. ",160012,7087009481,transfusionmed63@gmail.com,Prof. Neelam Marwaha,24 x 7,30.765913,76.775488,45,0,0,0,27,0,0,0,25
A14,Rotary and Blood Bank Society Resource Centre,Chandigarh,Chandigarh,"Plot No:4, Dakshin Marg, Sector 37A, Chandigarh",160036,9878707711,rbbsrc_mks@yahoo.co.in,Dr. Manish Rai,24 x 7,30.74211,76.755138,0,0,56,0,0,0,16,0,25
A15,Government Medical College and Hospital Blood Bank ,Chandigarh,Chandigarh,"Department of Transfusion Medicine ,Government Medical College and Hospital, Sector-32, Chandigarh",160032,9646121669,tmgmch@gmail.com ,Dr. Ravneet Kaur,24 x 7,30.709289,76.780536,56,0,0,13,0,87,0,0,50
A16,Jai Prakash Narayan Apex Trauma Centre Blood Bank,Delhi,New Delhi,"Jai Prakash Narayen Apex Trauma Centre, AIIMS, Raj Nagar,\r\nRing Road",110029,9868397275,arulselvi.jpnatc@gmail.com,Dr. Arul Selvi,24x7,28.568128,77.200338,0,0,0,0,29,23,0,27,10
A17,Fortis Escort Heart Institute Blood Bank,Delhi,New Delhi,"Fortis Escort Heart Institute, Okhla Road\r\n\r\n",110025,9873411881,contactus.escorts@fortishealthcare.com ,Dr. Amit,24x7,28.560455,77.273777,0,0,12,0,0,0,0,36,10
A18,Hakeem Abdul Hameed Centenary Hospital Blood Bank,Delhi,New Delhi,"Jamia Hamdard, Hamdard Nagar",110062,9350621681,bloodbankjamiahamdard@gmail.com ,Dr. Sujata Jetley,24x7,28.513711,77.251861,0,0,0,76,0,27,21,0,10
A19,Apollo Hospital Blood Bank,Delhi,New Delhi,"Indraprastha Medical Corporation, Sarita Vihar",110044,9925144720,,Dr. R. N. Makroo,24x7,28.540647,77.283445,0,0,0,0,67,25,0,0,10
A20,Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank,Delhi,New Delhi,"Kalra Hospital SRNCNC, A-4, Kirti Nagar",110015,9871699688,,Dr. Sunil Dewani ,24x7,28.657823,77.142691,0,0,0,78,0,0,0,0,20
A21,Apollo Victor Hospital Blood Bank,Goa,Margao,"Apollo Victor Hospital, Malbhat, Margao",403601,9376118500,,,24 hours ,15.268835,73.965605,54,0,68,43,0,78,0,54,30
A22,SMRC&#39;s V. M. Salgaocar Hospital Blood Bank,Goa,Vasco,"SMRC&#39;s V.M.Salgaocar Hospital, Chicalim, off Airport Road, Vasco-da-Gama\r\n\r\n",403711,9049843109,bloodbank@smrcgoa.org,Dr. Eugene D&#39;souza,24 X 7,15.395075,73.837127,4,8,8,0,65,0,87,0,20
A23,V. S. Hospital Blood Bank,Gujarat,Ahmedabad,"C/o. Sheth, Vadilal Sarabhai (V.S.) Hospital, Ellisbridge, Ahmedabad",380006,9925144720,"drcherryshah@gmail.com, vsghbloodbank@gmail.com",Cherry Shah,24X7,23.020595,72.571659,8,0,0,0,0,0,0,0,20
A24,Smt. Shardaben Hospital Blood Bank,Gujarat,Ahmedabad,"Smt. Laxmiben Chimanlal Lalbhai Blood Bank, C/o. The Superintendent, Smt. Shardaben Chimanlal Municipal General Hospital, Saraspur, Ahmedabad.",380018,9662359429,sclhospitalbloodbank@gmail.com ,Dr. T. V. Vijapura,24X7,23.035285,72.617719,0,54,0,21,43,0,0,0,20
A25,Cross World Voluntary Blood Bank ,Gujarat,Ahmedabad,"Cross World Voluntary Blood Bank, Chandraprabhu Complex,\r\nSardar Patel Cross Road, Ahmedabad",380013,9327015909,sandipcwbb1999@yahoo.com,Sandeep Shah,24X7,23.056322,72.570237,34,0,32,0,0,54,0,0,20
A26,Maha Gujarat Blood Bank,Gujarat,Ahmedabad,"Maha Gujarat Blood Bank (Voluntary) and Pathology Lab, 21, Parth  Comp., Near Maninagar Fire Station, Maninagar, Ahmedabad",380008,9825306725,mahagujaratbloodbank@yahoo.com,Mr. Navin Patel,24X7,22.997578,72.603054,0,3,43,0,43,0,0,0,20
A27,Shree MAA Blood Bank,Haryana,Jagadhri,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.\r\nOpp Sapphire hotel, railway road, Near Krishna Bajaj auto agency",135003,9416316102,shrimaabloodbank@gmail.com,Dr Rajvir Singh Panghal,24X7,30.147696,77.304339,32,0,0,2,0,0,0,33,20
A28,MLGH Trauma Centre Yamuna Nagar Blood Bank ,Haryana,Yamunanagar,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, \r\nYamunanagar",135001,9466359077,bloodbanktcynr@gmail.com,Dr. Nisha Gurawa,24X7,30.1442,77.303543,4,0,4,0,4,0,4,0,40
A29,Bilaspur Regional Hospital Blood bank,Himachal Pradesh,Bilaspur,"Changer Sector Bilaspur, Near D.C.Office Bilaspur",174001,9816028926,ltranjeet926@gmail.com,"Dr. Reena Sharma	",24X7,31.335735,76.765248,4,0,3,3,0,0,2,0,40
A30,Udhampur District Hospital Blood Bank ,Jammu and Kashmir,Udhampur,"Udhampur  District Hospital, Near ITI collage",182101,9419222969,msudh1@rediffmail.com,Dr. Shaveta Sharma,24X7,32.919922,75.132831,0,4,0,3,0,3,0,0,30
A31,Indian Red Cross Society Blood Bank Bokaro,Jharkhand,Bokaro,"IRCS, Blood bank, Pandit Jawahar lal Nehru Marg, Near Airport, Sector 1 B.S. City",827001,9431321798,bbircsbokaro@gmail.com,Dr. U Mohanty,9:00 AM to 6:00PM,23.644138,86.151112,0,44,0,0,0,0,0,0,10
A32,Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,Karnataka,Bangalore,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",560051,9481520707,,Dr. Meenakshi Patil,24X7,12.987532,77.604913,0,0,32,0,22,0,2,0,50
A33,Swamy Vivekananda Voluntary Blood Bank,Karnataka,Bangalore,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",560027,9343773931,vivekanandabloodbank@gmail.com,Sri. K. Vishal Yadav,24X7,12.9649846,77.589012,3,0,0,0,0,33,0,0,20
A34,M/s. Aster CMI Hospital Blood Bank,Karnataka,Bangalore,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",560092,9844844708,info@asterbangalore.com,Dr. Sridhar Murthy,24X7,13.054677,77.592504,3,0,0,0,0,0,0,0,30
A35,Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,Maharashtra,Nandurbar,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey \r\nNo. 67/3, Plot No. 3, Sahada, Nandurbar",425409,9371855918,bb_shahada@yahoo.com,Dr. Navinchandra  Shah,24x7,21.554798,74.472874,0,0,43,0,43,0,24,0,40
A36,Jankalyan Rakta Pedhi,Maharashtra,Nandurbar,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ",425412,9096175855,jankalyanbbndb@gmail.com ,Dr. Rajesh M. K.  ,24x7,21.36433536,74.24463853,4,22,22,66,0,32,0,0,40
A37,Malegaon Blood Bank,Maharashtra,Malegaon,"2nd Floor, West End Complex, Satana Naka, Malegaon ",423203,9371550550,"malegaonb@gmail.com, ",Dr. Dilip G. Bhavsar,24 Hours,20.55474,74.524396,54,0,21,0,32,0,0,0,20
A38,Seva Blood Bank,Maharashtra,MALEGAON,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",423203,9823967555,sevabloodbankmalegaon@gmail.com,Dr. Rajesh Bhanvar ,24x7,20.552689,74.516643,33,34,0,32,0,0,0,0,20
A39,Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,Maharashtra,Nashik,"Vadner Road, Devlali, Nashik",422401,9850536784,,,,19.903354,73.825824,11,0,1,34,0,0,0,0,10
A40,Metro Blood Bank - District (Civil) Hospital Nashik,Maharashtra,Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",422001,9850536784,"civilbloodbanknsk@gmail.com, ","Dr. Pavankumar  Bardapurkar, Dr. Rajput D.P",24x7,19.996886,73.778198,0,0,0,32,0,43,0,56,10
A41,District Hospital Blood Bank,Uttar Pradesh,Ballia,District Hospital Blood Bank\r\n,277001,8382957867,N/A,Dr. Mohamad Iqbal,24x7,25.750805,84.147468,0,0,0,21,0,76,0,0,10
A42,Combined District Hospital Blood Bank,Uttar Pradesh,Balrampur,"Combined District Hospital, Balrampur\r\n",271201,9450110947,N/A,Dr. Satydev,24x7,27.409812,82.192775,65,0,0,0,0,49,0,0,20
A43,Cooch Behar Municipality Hospital Blood Bank,West Bengal,Cooch Behar,"Cooch Behar Municipality Building (Ground Floor), Near Sagar Dighi, Po - Cooch Behar",736101,9712906725,chairmancbm@gmail.com,Dr Jayanta Kr Mohanta,24x7,26.3193973,89.4406897,43,0,0,43,0,0,0,0,20
A44,M.J.N Hospital Blood Bank,West Bengal,Cooch Behar,Silverjubilee Road,736101,9433135529,mjnbloodbank@gmail.com,Dr. Pranab Kr Das,24x7,26.32175,89.446384,0,0,0,0,0,5,0,0,20
A45,"St. John Ambulance Association, Cooch Berar District Centre",West Bengal,Cooch Behar,"Sagardighi North Collectorate Building,  P.O. Cooch Behar  ",736101,9420746965,,,24x7,26.3227486,89.43823,4,5,6,2,4,0,0,0,20
